# MJD m dm
59311.545862 18.768000 0.132000
59311.563366 18.553000 0.120000
59311.567516 18.742000 0.144000
59311.575185 18.574000 0.106000
59315.560953 19.349000 0.215000
59315.562800 18.927000 0.206000
59315.565565 19.461000 0.254000
59315.571096 19.553000 0.420000
59319.569007 19.526000 0.184000
59319.572232 19.655000 0.191000
59319.574995 19.813000 0.275000
59319.582366 20.335000 0.388000
59321.495895 18.249000 0.118000
59321.499556 18.120000 0.118000
59321.516953 18.214000 0.087000
59321.523876 18.109000 0.123000
59323.555446 19.506000 0.190000
59323.557289 19.874000 0.223000
59323.560058 20.263000 0.318000
59323.565125 19.914000 0.282000
59327.493606 18.268000 0.116000
59327.500993 18.244000 0.139000
59327.508374 18.265000 0.137000
59327.511606 18.411000 0.142000
59331.468248 18.186000 0.208000
59331.470091 18.688000 0.332000
59331.472858 19.106000 0.514000
59331.479159 18.171000 0.187000
59337.557925 18.575000 0.578000
59337.561124 18.030000 0.380000
59337.566626 18.739000 0.813000
59337.601495 18.724000 0.369000
59343.493641 18.263000 0.183000
59343.495941 18.111000 0.097000
59343.498703 18.163000 0.108000
59343.504233 18.238000 0.104000
59347.455700 17.929000 0.119000
59347.457542 18.170000 0.142000
59347.460305 18.076000 0.099000
59347.465377 18.161000 0.112000
59349.527960 19.201000 0.168000
59349.530746 19.242000 0.145000
59349.563857 19.139000 0.165000
59349.570260 19.449000 0.208000
59351.476793 17.724000 0.094000
59351.478637 17.592000 0.112000
59351.481402 17.601000 0.063000
59351.489706 17.602000 0.087000
59353.518815 18.203000 0.059000
59353.522052 18.379000 0.097000
59353.545838 18.126000 0.073000
59353.574225 18.312000 0.085000
59355.560390 18.577000 0.177000
59355.564074 18.790000 0.211000
59355.570071 18.792000 0.200000
59355.580218 18.541000 0.125000
59357.423606 18.924000 0.343000
59357.427747 18.966000 0.397000
59357.439159 18.163000 0.244000
59357.446070 22.431000 10.543000
59357.453220 18.724000 0.317000
59357.455509 19.542000 0.548000
59357.461034 22.738000 10.645000
59357.466978 20.163000 1.064000
59365.488989 19.954000 0.573000
59365.494171 20.233000 0.993000
59365.498286 20.325000 0.896000
59365.508809 19.935000 0.662000
59367.466480 19.328000 0.392000
59367.501851 19.295000 0.280000
59367.505075 20.055000 0.472000
59367.510608 19.989000 0.522000
59367.617932 -22.091000 7.538000
59371.474699 23.583000 7.188000
59371.477528 21.066000 0.917000
59371.512052 22.195000 2.231000
59371.540534 21.457000 0.911000
59373.469510 19.594000 0.389000
59373.472713 19.612000 0.334000
59373.507443 19.442000 0.349000
59373.516191 18.920000 0.216000
59375.414545 20.567000 0.500000
59375.416847 21.187000 0.970000
59375.420075 23.741000 8.556000
59375.426525 21.843000 1.526000
59376.386151 21.525000 1.439000
59376.390343 -22.303000 4.175000
59376.431886 19.571000 0.504000
59376.438234 19.085000 0.314000
59376.444601 19.519000 0.413000
59376.451318 18.957000 0.227000
59377.380913 21.637000 1.292000
59377.380985 19.539000 0.584000
59377.383681 21.657000 1.700000
59377.383730 19.312000 0.387000
59377.386445 20.499000 0.490000
59377.386931 19.244000 0.373000
59377.389673 19.810000 0.828000
59377.389813 21.356000 1.222000
59377.399733 19.072000 0.226000
59377.402477 19.358000 0.395000
59377.405678 19.395000 0.431000
59377.440260 19.454000 0.327000
59378.380925 19.470000 0.342000
59378.381052 22.065000 2.167000
59378.383668 19.067000 0.315000
59378.386420 19.279000 0.315000
59378.387298 -21.888000 1.486000
59378.389174 19.393000 0.348000
59378.393523 21.152000 0.929000
59378.400231 21.306000 1.058000
59379.380651 20.254000 0.317000
59379.383417 21.242000 1.101000
59379.386180 20.553000 0.491000
59379.388952 22.835000 3.625000
59379.403230 22.632000 3.516000
59379.405071 21.849000 1.697000
59379.440092 21.353000 0.989000
59379.464258 -21.027000 0.761000
59380.380660 21.029000 0.748000
59380.384385 23.427000 7.455000
59380.388679 -20.262000 0.508000
59380.393035 20.385000 0.546000
59381.393370 19.932000 0.442000
59381.395497 19.970000 0.424000
59381.398459 22.166000 2.293000
59381.401221 21.132000 0.807000
59383.396454 19.146000 0.233000
59383.398296 19.389000 0.265000
59383.401524 19.876000 0.516000
59383.415728 19.412000 0.323000
59384.390764 18.814000 0.421000
59384.392757 19.627000 0.445000
59384.396081 19.500000 0.364000
