# MJD             m          dm
58246.4171181 20.0845222 0.139318511
58247.4384028 19.9733791 0.132299125
58256.480463 20.0491257 0.137130678
58273.3896181 19.9748402 0.132393882
58284.3132523 19.6181393 0.108857952
58336.2089931 19.8614616 0.124933682
58338.1894444 19.7988319 0.120765254
58348.1980324 20.0071011 0.13447161
58593.4385764 19.6857548 0.113271579
58607.4816667 19.7960415 0.120579451
58608.4810185 19.7166214 0.115306735
58636.3345255 19.4923477 0.10087131
58636.3349769 19.6040668 0.107948631
58636.3354282 19.6211205 0.109051049
58636.3358796 19.9147091 0.128459916
58636.336331 19.5642185 0.105394006
58636.3367824 19.5659409 0.105503775
58636.3372338 19.4777946 0.0999701172
58636.3376852 19.7201405 0.115539417
58636.3381366 19.5931206 0.107243858
58636.338588 19.6648331 0.111898772
58636.3390394 19.7594624 0.11814633
58636.3394907 19.6653881 0.111935049
58636.3399421 19.8756809 0.125877902
58636.3403935 19.8022766 0.12099465
58636.3408333 19.7573242 0.118004277
58636.3412963 19.6619053 0.111707099
58636.3417477 19.7145214 0.115167931
58636.3421991 19.5679646 0.105632871
58636.3426505 19.7348824 0.116515286
58636.3431019 19.7871857 0.119990021
58636.3435417 19.7285805 0.116097897
58636.3439931 19.6318245 0.109745555
58636.344456 19.5886669 0.106957726
58636.3448958 19.6780014 0.112762131
58636.3453588 19.7485504 0.117421731
58636.3458102 19.5826569 0.106572211
58636.3462616 19.7362347 0.116604939
58636.346713 19.7217541 0.115646154
58636.3471644 19.6290321 0.109564215
58636.3480671 19.6692123 0.112185575
58636.3485185 19.7087975 0.114789903
58636.3489699 19.6563225 0.111342035
58636.3494213 19.5434494 0.104075283
58636.3498727 19.4478912 0.0981348604
58636.3503241 19.8053551 0.121199608
58636.3507755 19.4744987 0.0997667089
58636.3512269 19.5256176 0.102950439
58636.3516782 19.5514793 0.104584061
58636.3521296 19.5603676 0.105148815
58636.352581 19.7576218 0.118024066
58636.3530324 19.6731701 0.112445079
58636.3534838 19.6837025 0.113136694
58636.3539352 19.4908066 0.100775607
58636.3543866 19.6675911 0.112079352
58636.354838 19.5093594 0.101931185
58636.3552894 19.7188015 0.115450889
58636.3557407 19.6080971 0.108208701
58636.3561921 19.6273155 0.109452784
58636.3566435 19.6246109 0.109277301
58636.3571065 19.6248856 0.1092951
58636.3575579 19.8778229 0.126020014
58636.3579977 19.6080761 0.108207405
58636.3584491 19.6570759 0.111391291
58636.358912 19.7252941 0.11588034
58636.3593519 19.5960083 0.107429549
58636.3598032 19.7801723 0.119523257
58636.3602546 19.5578671 0.104989745
58636.360706 19.7594566 0.118145943
58636.3611574 19.6657619 0.111959562
58636.3616088 19.6012707 0.107768424
58636.3620602 19.6958294 0.113934636
58636.3625116 19.6665115 0.112008668
58636.362963 19.7520199 0.117651999
58636.3634144 19.5957451 0.107412681
58636.3638657 19.5612621 0.105205722
58636.3643171 19.6514053 0.111020848
58636.3647685 19.5934639 0.107265919
58636.3652199 19.716814 0.115319505
58636.3656713 19.736105 0.116596341
58636.3661227 19.6341324 0.109895535
58636.3665741 19.7146416 0.115175866
